original_filename,lab_sample_id,assigned_rid,method
001420_CNX_2023RY_Forms26R_ChemicalAnalysis_SWRegion.pdf,AXH0807-01,s:AXH0807-01,single_report
001424_2023RY_EquitransMidstreamCorp_Forms26R_SWRegion.pdf,1B18035-01,s:1B18035-01,single_report
001427_PER 26R 2023 RY.pdf,AWH7636-01 (Solid/Composite),s:AWH7636-01 (Solid/Composite),metadata_cluster
001427_PER 26R 2023 RY.pdf,AXD5563-01,s:AXD5563-01,metadata_cluster
001436_SHAW TRUST 500 2019-06-28 SWEPI 802 26R ANALYTICAL.pdf,W_69143_414,s:W_69143_414,single_report
001465_RWC 804_SWNPC_9H21013 SWN TI-17 Hoffman.pdf,9H21013-01,s:9H21013-01,single_report
001465_RWC 804_SWNPC_9H21013 SWN TI-17 Hoffman.pdf,9H21013-02,s:9H21013-01,single_report
001469_RWC 810_SWNPC_TI-17 Hoffman Pad OBM Drill Cuttings (810) 0092449_1 ESL 10 28 2020 1344.pdf,30384888001,s:30384888001,single_report
001503_SWNPC_GU-T-Behrend Ross_Drill Cuttings_0061875_1 ESL 08 05 2020 1548.pdf,30369813001,s:30369813001,single_report
001503_SWNPC_GU-T-Behrend Ross_Drill Cuttings_0061875_1 ESL 08 05 2020 1548.pdf,30369813002,s:30369813001,single_report
001505_SWNPC_GU-VW MCMahon_Drill Cuttings (810)  0022089_1 ESL 04 01 2020 1012.pdf,30352248002,s:30352248002,single_report
001507_SWNPC_GU-Y-LOOMIS _0A22047 Drill Cuttings Pit (RWC 810)-Disposal.pdf,0A22047-05,s:0A22047-05,single_report
001507_SWNPC_GU-Y-LOOMIS _0A22047 Drill Cuttings Pit (RWC 810)-Disposal.pdf,0A22047-06,s:0A22047-05,single_report
001507_SWNPC_GU-Y-LOOMIS _0A22047 Drill Cuttings Pit (RWC 810)-Disposal.pdf,0A22047-07,s:0A22047-05,single_report
001515_0C05061_1 2019_Standard_Format_12.2.19 04 08 20 1223.pdf,0C05061-01,s:0C05061-01,single_report
001515_AYI2387AYJ5440 2019_Standard_Format_12.2.19 FINAL 11 06 24 1023.pdf,AYJ5440-04,s:AYJ5440-04,single_report
001627_G1607C90 Range Harmon Creek A Flowback.pdf,G1607C90-001,s:G1607C90-001,single_report
001705_810 Rads combined.pdf,G1610515-001,s:G1610515-001,single_report
001928_RWC_802FW_Headlee Pad A_20160914_1_G1609766_Final Report.pdf,2-7563,s:2-7563,single_report
001933_RWC_802FW_Vrona Pad A_20160803_1_G1608194_Final Report.pdf,2-7568,s:2-7568,single_report
002089_Mamont CS_422_9A21036.pdf,9A21036-01,s:9A21036-01,single_report
002096_MOR10_810&803&806_8H28017&8K300008.pdf,8K30008-01,s:8K30008-01,single_report
002165_RWC_804FW_Baily Pad A_20160929_1_G1609G22_Final Report.pdf,G1609G22-002,s:G1609G22-002,single_report
002171_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Adamson B.pdf,4K17057-01,s:4K17057-01,single_report
002171_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Adamson B.pdf,4K17057-02,s:4K17057-01,single_report
002171_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Adamson B.pdf,4K17057-03,s:4K17057-01,single_report
002171_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Adamson B.pdf,4K17057-04,s:4K17057-01,single_report
002172_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Alpha 1.pdf,4K17057-05,s:4K17057-05,single_report
002173_805_Frac Sand_PBG Smith Pad A_Lab Data.pdf,G1606074-002,s:G1606074-002,single_report
002173_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Atcheson.pdf,4K18118-01,s:4K18118-01,single_report
002173_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Atcheson.pdf,4K18118-02,s:4K18118-01,single_report
002173_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Atcheson.pdf,4K18118-03,s:4K18118-01,single_report
002173_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Atcheson.pdf,4K18118-04,s:4K18118-01,single_report
002173_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Atcheson.pdf,4K18118-05,s:4K18118-01,single_report
002179_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- D. Tharp.pdf,4K11107-01,s:4K11107-01,single_report
002179_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- D. Tharp.pdf,4K11107-02,s:4K11107-01,single_report
002179_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- D. Tharp.pdf,4K11107-03,s:4K11107-01,single_report
002179_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- D. Tharp.pdf,4K11107-04,s:4K11107-01,single_report
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,Brine-Blams-590346,s:Brine-Blams-590346,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,Brine-Cashdollar-590034,s:Brine-Blams-590346,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,Brine-Hawkins-590495,s:Brine-Blams-590346,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,Brine-Pyles-593215,s:Brine-Blams-590346,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,4K17057-02,s:4K17057-02,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,4K17057-03,s:4K17057-02,metadata_cluster
002186_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- J & J.pdf,4K17057-04,s:4K17057-02,metadata_cluster
002188_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Koloski.pdf,4K17057-02,s:4K17057-02,single_report
002188_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Koloski.pdf,4K17057-03,s:4K17057-02,single_report
002188_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Koloski.pdf,4K17057-04,s:4K17057-02,single_report
002197_RWC_805FW_PBG Smith Pad A_20160601_1_G1606073_Final Report.pdf,G1606073-002,s:G1606073-002,single_report
002202_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Thompson.pdf,4K17057-01,s:4K17057-01,single_report
002202_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Thompson.pdf,4K17057-02,s:4K17057-01,single_report
002202_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Thompson.pdf,4K17057-03,s:4K17057-01,single_report
002202_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- Thompson.pdf,4K17057-04,s:4K17057-01,single_report
002203_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- W L Hopkins.pdf,Brine-Cooper-590384,s:Brine-Cooper-590384,metadata_cluster
002203_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- W L Hopkins.pdf,Brine-Flams-590454,s:Brine-Cooper-590384,metadata_cluster
002203_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- W L Hopkins.pdf,Brine-Harden-590004,s:Brine-Cooper-590384,metadata_cluster
002203_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- W L Hopkins.pdf,Brine-Roberts-590167,s:Brine-Cooper-590384,metadata_cluster
002203_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- W L Hopkins.pdf,4K11107-05,s:4K11107-05,metadata_cluster
002205_SW 2015 26R- Greene County 802 - Brine-Produced Fluid- West Run.pdf,Brine-WestRun-591400,s:Brine-WestRun-591400,single_report
